,價平檔位,時間分組,買賣權別,average_iv,std_iv
367,-200.0,6 days 04:30:00,P,0.11232835820895522,0.03365215021258446
368,-150.0,0 days 00:45:00,C,0.32598513513513516,0.11520460854845786
369,-150.0,0 days 00:45:00,P,0.25316666666666665,0.35207193492856126
370,-150.0,0 days 01:00:00,C,0.3045423076923077,0.13093202808717574
371,-150.0,0 days 01:00:00,P,0.22967142857142858,0.28720830171049816
372,-150.0,0 days 01:30:00,C,0.26610243902439024,0.11516849489421986
373,-150.0,0 days 01:30:00,P,0.1554364705882353,0.20948730888202524
374,-150.0,0 days 04:30:00,C,0.24913265306122448,0.10611866512416215
375,-150.0,0 days 04:30:00,P,0.15703298969072166,0.15295446811718283
376,-150.0,1 days 00:30:00,C,0.14738351648351647,0.06517850235867015
377,-150.0,1 days 00:30:00,P,0.10672435897435897,0.0869298660227117
378,-150.0,1 days 04:30:00,C,0.16092717391304348,0.060295911517876756
379,-150.0,1 days 04:30:00,P,0.11696153846153845,0.08179263314997773
380,-150.0,2 days 00:30:00,C,0.148053488372093,0.08639325504401292
381,-150.0,2 days 00:30:00,P,0.12510833333333332,0.09294205032335935
382,-150.0,2 days 04:30:00,C,0.15774204545454545,0.057426446151639096
383,-150.0,2 days 04:30:00,P,0.13240963855421686,0.05728830301259486
384,-150.0,5 days 00:30:00,C,0.11645,0.03270742585227938
385,-150.0,5 days 00:30:00,P,0.1108943661971831,0.032946180733883224
386,-150.0,5 days 04:30:00,C,0.12311264367816092,0.032650530835806185
387,-150.0,5 days 04:30:00,P,0.11413414634146342,0.03303773831493273
388,-150.0,6 days 00:00:00,C,0.12114090909090908,0.031150449292395088
389,-150.0,6 days 00:00:00,P,0.1107625,0.029520641799485343
390,-150.0,6 days 04:30:00,C,0.12655568181818183,0.032309757459875604
391,-150.0,6 days 04:30:00,P,0.11918235294117646,0.03262572450014963
392,-100.0,0 days 00:45:00,C,0.2663978947368421,0.16981689386609689
393,-100.0,0 days 00:45:00,P,0.22268673469387754,0.2804377647987345
394,-100.0,0 days 01:00:00,C,0.25510625000000003,0.17313238367306044
395,-100.0,0 days 01:00:00,P,0.1989408163265306,0.22534680115563946
396,-100.0,0 days 01:30:00,C,0.24013645833333333,0.14982643791702288
397,-100.0,0 days 01:30:00,P,0.15963979591836736,0.17902233042754895
398,-100.0,0 days 04:30:00,C,0.250425,0.11631233758177753
399,-100.0,0 days 04:30:00,P,0.169727,0.13492029884866893
400,-100.0,1 days 00:30:00,C,0.15052111111111113,0.06798578750093541
401,-100.0,1 days 00:30:00,P,0.1218696629213483,0.0702503597604738
402,-100.0,1 days 04:30:00,C,0.16345978260869565,0.0592819414709708
403,-100.0,1 days 04:30:00,P,0.13005714285714287,0.05544476358975489
404,-100.0,2 days 00:30:00,C,0.14240804597701148,0.046374301770938264
405,-100.0,2 days 00:30:00,P,0.12228148148148148,0.04745715992110967
